a1 1.0	a1
a2 1.0	a2
a3 1.0	a3
a4 1.0	a4
a5 1.0	a5
a6 1.0	a6
a7 1.0	a7
a8 1.0	a8
a9 1.0	a9
ah1 1.0	ah1
ah2 1.0	ah2
ah3 1.0	ah3
ah4 1.0	ah4
ah5 1.0	ah5
ah6 1.0	ah6
ah7 1.0	ah7
ah8 1.0	ah8
ah9 1.0	ah9
ai1 1.0	ai1
ai2 1.0	ai2
ai3 1.0	ai3
ai4 1.0	ai4
ai5 1.0	ai5
ai6 1.0	ai6
ai7 1.0	ai7
ai8 1.0	ai8
ai9 1.0	ai9
aih1 1.0	aih1
aih2 1.0	aih2
aih3 1.0	aih3
aih4 1.0	aih4
aih5 1.0	aih5
aih6 1.0	aih6
aih7 1.0	aih7
aih8 1.0	aih8
aih9 1.0	aih9
ainn1 1.0	ainn1
ainn2 1.0	ainn2
ainn3 1.0	ainn3
ainn4 1.0	ainn4
ainn5 1.0	ainn5
ainn6 1.0	ainn6
ainn7 1.0	ainn7
ainn8 1.0	ainn8
ainn9 1.0	ainn9
ak1 1.0	ak1
ak2 1.0	ak2
ak3 1.0	ak3
ak4 1.0	ak4
ak5 1.0	ak5
ak6 1.0	ak6
ak7 1.0	ak7
ak8 1.0	ak8
ak9 1.0	ak9
am1 1.0	am1
am2 1.0	am2
am3 1.0	am3
am4 1.0	am4
am5 1.0	am5
am6 1.0	am6
am7 1.0	am7
am8 1.0	am8
am9 1.0	am9
an1 1.0	an1
an2 1.0	an2
an3 1.0	an3
an4 1.0	an4
an5 1.0	an5
an6 1.0	an6
an7 1.0	an7
an8 1.0	an8
an9 1.0	an9
ang1 1.0	ang1
ang2 1.0	ang2
ang3 1.0	ang3
ang4 1.0	ang4
ang5 1.0	ang5
ang6 1.0	ang6
ang7 1.0	ang7
ang8 1.0	ang8
ang9 1.0	ang9
ann1 1.0	ann1
ann2 1.0	ann2
ann3 1.0	ann3
ann4 1.0	ann4
ann5 1.0	ann5
ann6 1.0	ann6
ann7 1.0	ann7
ann8 1.0	ann8
ann9 1.0	ann9
annh1 1.0	annh1
annh2 1.0	annh2
annh3 1.0	annh3
annh4 1.0	annh4
annh5 1.0	annh5
annh6 1.0	annh6
annh7 1.0	annh7
annh8 1.0	annh8
annh9 1.0	annh9
ap1 1.0	ap1
ap2 1.0	ap2
ap3 1.0	ap3
ap4 1.0	ap4
ap5 1.0	ap5
ap6 1.0	ap6
ap7 1.0	ap7
ap8 1.0	ap8
ap9 1.0	ap9
at1 1.0	at1
at2 1.0	at2
at3 1.0	at3
at4 1.0	at4
at5 1.0	at5
at6 1.0	at6
at7 1.0	at7
at8 1.0	at8
at9 1.0	at9
au1 1.0	au1
au2 1.0	au2
au3 1.0	au3
au4 1.0	au4
au5 1.0	au5
au6 1.0	au6
au7 1.0	au7
au8 1.0	au8
au9 1.0	au9
auh1 1.0	auh1
auh2 1.0	auh2
auh3 1.0	auh3
auh4 1.0	auh4
auh5 1.0	auh5
auh6 1.0	auh6
auh7 1.0	auh7
auh8 1.0	auh8
auh9 1.0	auh9
ba1 1.0	b a1
ba2 1.0	b a2
ba3 1.0	b a3
ba4 1.0	b a4
ba5 1.0	b a5
ba6 1.0	b a6
ba7 1.0	b a7
ba8 1.0	b a8
ba9 1.0	b a9
bah1 1.0	b ah1
bah2 1.0	b ah2
bah3 1.0	b ah3
bah4 1.0	b ah4
bah5 1.0	b ah5
bah6 1.0	b ah6
bah7 1.0	b ah7
bah8 1.0	b ah8
bah9 1.0	b ah9
bai1 1.0	b ai1
bai2 1.0	b ai2
bai3 1.0	b ai3
bai4 1.0	b ai4
bai5 1.0	b ai5
bai6 1.0	b ai6
bai7 1.0	b ai7
bai8 1.0	b ai8
bai9 1.0	b ai9
baih1 1.0	b aih1
baih2 1.0	b aih2
baih3 1.0	b aih3
baih4 1.0	b aih4
baih5 1.0	b aih5
baih6 1.0	b aih6
baih7 1.0	b aih7
baih8 1.0	b aih8
baih9 1.0	b aih9
bainn1 1.0	b ainn1
bainn2 1.0	b ainn2
bainn3 1.0	b ainn3
bainn4 1.0	b ainn4
bainn5 1.0	b ainn5
bainn6 1.0	b ainn6
bainn7 1.0	b ainn7
bainn8 1.0	b ainn8
bainn9 1.0	b ainn9
bak1 1.0	b ak1
bak2 1.0	b ak2
bak3 1.0	b ak3
bak4 1.0	b ak4
bak5 1.0	b ak5
bak6 1.0	b ak6
bak7 1.0	b ak7
bak8 1.0	b ak8
bak9 1.0	b ak9
bam1 1.0	b am1
bam2 1.0	b am2
bam3 1.0	b am3
bam4 1.0	b am4
bam5 1.0	b am5
bam6 1.0	b am6
bam7 1.0	b am7
bam8 1.0	b am8
bam9 1.0	b am9
ban1 1.0	b an1
ban2 1.0	b an2
ban3 1.0	b an3
ban4 1.0	b an4
ban5 1.0	b an5
ban6 1.0	b an6
ban7 1.0	b an7
ban8 1.0	b an8
ban9 1.0	b an9
bang1 1.0	b ang1
bang2 1.0	b ang2
bang3 1.0	b ang3
bang4 1.0	b ang4
bang5 1.0	b ang5
bang6 1.0	b ang6
bang7 1.0	b ang7
bang8 1.0	b ang8
bang9 1.0	b ang9
bann1 1.0	b ann1
bann2 1.0	b ann2
bann3 1.0	b ann3
bann4 1.0	b ann4
bann5 1.0	b ann5
bann6 1.0	b ann6
bann7 1.0	b ann7
bann8 1.0	b ann8
bann9 1.0	b ann9
bannh1 1.0	b annh1
bannh2 1.0	b annh2
bannh3 1.0	b annh3
bannh4 1.0	b annh4
bannh5 1.0	b annh5
bannh6 1.0	b annh6
bannh7 1.0	b annh7
bannh8 1.0	b annh8
bannh9 1.0	b annh9
bap1 1.0	b ap1
bap2 1.0	b ap2
bap3 1.0	b ap3
bap4 1.0	b ap4
bap5 1.0	b ap5
bap6 1.0	b ap6
bap7 1.0	b ap7
bap8 1.0	b ap8
bap9 1.0	b ap9
bat1 1.0	b at1
bat2 1.0	b at2
bat3 1.0	b at3
bat4 1.0	b at4
bat5 1.0	b at5
bat6 1.0	b at6
bat7 1.0	b at7
bat8 1.0	b at8
bat9 1.0	b at9
bau1 1.0	b au1
bau2 1.0	b au2
bau3 1.0	b au3
bau4 1.0	b au4
bau5 1.0	b au5
bau6 1.0	b au6
bau7 1.0	b au7
bau8 1.0	b au8
bau9 1.0	b au9
bauh1 1.0	b auh1
bauh2 1.0	b auh2
bauh3 1.0	b auh3
bauh4 1.0	b auh4
bauh5 1.0	b auh5
